source,review_id,group_id,review_title,test_name,study_rows,zero_cell_study_fraction,sensitivity,specificity,sensitivity_low,sensitivity_interval_median,sensitivity_high,specificity_low,specificity_interval_median,specificity_high,information_bits,information_bits_low,information_bits_interval_median,information_bits_high,fraction_entropy_removed,fraction_entropy_removed_low,fraction_entropy_removed_interval_median,fraction_entropy_removed_high,post_negative_probability,post_negative_probability_low,post_negative_probability_interval_median,post_negative_probability_high,starting_probability,uncertainty_type,analysis_version,model_specification,analysis_role,sensitivity_dimension,central_estimator_mixed_with_canonical_interval,central_quantity_estimand,derived_central_matches_attached_interval_median
PMC Open Access,PMC:PMC10316459,pmc open access:PMC10316459:TAB2:table-2-characteristics-of-studies-b-bacteriology-cd-clinical-diagnosis-cect-con:1:overall,Diagnostic Accuracy of Cerebrospinal Fluid (CSF) Adenosine Deaminase (ADA) for Tuberculous Meningitis (TBM) in Adults: A Systematic Review and Meta-Analysis,Overall structured 2 x 2 data,22,0.1818181818181818,0.8032701591312116,0.8728366962533755,0.7372572573395965,0.8032701591312116,0.8559384516216422,0.8259872655370449,0.8728366962533755,0.9084705629965548,0.2475702148875891,0.1920329896228297,0.2469741366593278,0.3013993884226577,0.3429291873260812,0.2660001612110571,0.3421035119818431,0.4174922551943114,0.0533421240459517,0.0396427837547886,0.053425727068334,0.0703233981469802,0.2,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,locked Phase 1 released central quantity with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10316459,pmc open access:PMC10316459:TAB2:table-2-characteristics-of-studies-b-bacteriology-cd-clinical-diagnosis-cect-con:1:overall,Diagnostic Accuracy of Cerebrospinal Fluid (CSF) Adenosine Deaminase (ADA) for Tuberculous Meningitis (TBM) in Adults: A Systematic Review and Meta-Analysis,Overall structured 2 x 2 data,22,0.1818181818181818,0.8032701591312116,0.8728366962533755,0.7372572573395965,0.8032701591312116,0.8559384516216422,0.8259872655370449,0.8728366962533755,0.9084705629965548,0.3640330871156191,0.2837838658704772,0.3629464621652017,0.440781061499281,0.3640330871156191,0.2837838658704772,0.3629464621652017,0.440781061499281,0.1839341771089069,0.1417169694913364,0.1841826347488287,0.2322877919453474,0.5,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10320388,pmc open access:PMC10320388:T1:table-1-the-basic-characteristics-of-included-studies:1:overall,The accuracy of ultrasound-guided fine-needle aspiration and core needle biopsy in diagnosing axillary lymph nodes in women with breast cancer: a systematic review and meta-analysis,Overall structured 2 x 2 data,32,0.8125,0.8058787445066717,0.951831996973466,0.7630647661892277,0.8058787445066717,0.8425525806536077,0.919024422965208,0.951831996973466,0.9717559549867512,0.1230223058065901,0.100255391054208,0.1228769275377166,0.1441735909197343,0.4295517209590357,0.3500574589331853,0.4290441098784661,0.5034047581076828,0.0106199467917783,0.0086791186661525,0.0106537542724518,0.0129191948165544,0.05,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10320388,pmc open access:PMC10320388:T1:table-1-the-basic-characteristics-of-included-studies:1:overall,The accuracy of ultrasound-guided fine-needle aspiration and core needle biopsy in diagnosing axillary lymph nodes in women with breast cancer: a systematic review and meta-analysis,Overall structured 2 x 2 data,32,0.8125,0.8058787445066717,0.951831996973466,0.7630647661892277,0.8058787445066717,0.8425525806536077,0.919024422965208,0.951831996973466,0.9717559549867512,0.3564947339444837,0.3014425434662053,0.3557206341231386,0.4033620635061653,0.4938091985464359,0.4175520326761038,0.4927369313402873,0.5587288628365396,0.048512737182443,0.0399263431508594,0.048661239464293,0.0585305471008336,0.2,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,locked Phase 1 released central quantity with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10320388,pmc open access:PMC10320388:T1:table-1-the-basic-characteristics-of-included-studies:1:overall,The accuracy of ultrasound-guided fine-needle aspiration and core needle biopsy in diagnosing axillary lymph nodes in women with breast cancer: a systematic review and meta-analysis,Overall structured 2 x 2 data,32,0.8125,0.8058787445066717,0.951831996973466,0.7630647661892277,0.8058787445066717,0.8425525806536077,0.919024422965208,0.951831996973466,0.9717559549867512,0.4902901590005327,0.4235439844006773,0.4887114589674388,0.5481391544401943,0.4902901590005327,0.4235439844006773,0.4887114589674388,0.5481391544401943,0.1693971853349692,0.1426222213470508,0.1698496712723896,0.1991526480596234,0.5,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10323525,pmc open access:PMC10323525:T1:table-1-characteristics-of-included-studies:1:overall,An Updated Systematic Review and Meta-Analysis for the Diagnostic Test Accuracy of Ascitic Fluid Adenosine Deaminase in Tuberculous Peritonitis,Overall structured 2 x 2 data,20,0.45,0.8642140505281894,0.925266655528523,0.8140902555885663,0.8642140505281894,0.9024432498465744,0.90150162357181,0.925266655528523,0.9436561854743706,0.1196458204201252,0.1028652354568468,0.1193303324329139,0.1355198503788763,0.4177621914177081,0.3591701409564866,0.4166606155127533,0.473188862561857,0.0076646579781402,0.0055493085661651,0.0076695143996692,0.0103738169727419,0.05,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10323525,pmc open access:PMC10323525:T1:table-1-characteristics-of-included-studies:1:overall,An Updated Systematic Review and Meta-Analysis for the Diagnostic Test Accuracy of Ascitic Fluid Adenosine Deaminase in Tuberculous Peritonitis,Overall structured 2 x 2 data,20,0.45,0.8642140505281894,0.925266655528523,0.8140902555885663,0.8642140505281894,0.9024432498465744,0.90150162357181,0.925266655528523,0.9436561854743706,0.3612724911202726,0.3137656066672324,0.3604834959671575,0.4040880635818992,0.5004272498587821,0.4346216872418398,0.4993343499443686,0.5597345032609465,0.0353899314446907,0.0258218650753027,0.0354117280549026,0.047430498216195,0.2,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,locked Phase 1 released central quantity with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10323525,pmc open access:PMC10323525:T1:table-1-characteristics-of-included-studies:1:overall,An Updated Systematic Review and Meta-Analysis for the Diagnostic Test Accuracy of Ascitic Fluid Adenosine Deaminase in Tuberculous Peritonitis,Overall structured 2 x 2 data,20,0.45,0.8642140505281894,0.925266655528523,0.8140902555885663,0.8642140505281894,0.9024432498465744,0.90150162357181,0.925266655528523,0.9436561854743706,0.5190897591607879,0.4499115146629512,0.5179761744655864,0.5811704301100896,0.5190897591607879,0.4499115146629512,0.5179761744655864,0.5811704301100896,0.1279728722514826,0.0958614927090242,0.1280441213997625,0.1660889481689966,0.5,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10340581,pmc open access:PMC10340581:diagnostics-13-02145-t003:table-3-performance-of-the-ml-architecture:1:overall,Diagnostic Accuracy of Machine Learning AI Architectures in Detection and Classification of Lung Cancer: A Systematic Review,Overall structured 2 x 2 data,9,0.0,0.9371087942494696,0.8935847608727027,0.8950804967766014,0.9371087942494696,0.9629975183638346,0.6675729173674345,0.8935847608727027,0.9723087445485754,0.1231880200836487,0.055338985157222,0.1231601588436507,0.1883582564572812,0.4301303384091908,0.1932247664726983,0.4300330565096951,0.657682464066889,0.0036905815160823,0.0021711517718212,0.0037775305149395,0.0066664551070011,0.05,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10340581,pmc open access:PMC10340581:diagnostics-13-02145-t003:table-3-performance-of-the-ml-architecture:1:overall,Diagnostic Accuracy of Machine Learning AI Architectures in Detection and Classification of Lung Cancer: A Systematic Review,Overall structured 2 x 2 data,9,0.0,0.9371087942494696,0.8935847608727027,0.8950804967766014,0.9371087942494696,0.9629975183638346,0.6675729173674345,0.8935847608727027,0.9723087445485754,0.3861361441283141,0.1882998317715277,0.3854221022822658,0.5312193938774628,0.5348678723863217,0.260829067472304,0.5338787962565728,0.735834216232221,0.0172909608248332,0.0102296826892839,0.0176926406091074,0.0308933524559803,0.2,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,locked Phase 1 released central quantity with separately labeled pooled-mean interval,
