analysis_version,classification,model_specification,analysis_role,sensitivity_dimension,review_id,group_id,test_name,starting_probability,sensitivity,specificity,information_bits,fraction_entropy_removed,post_negative_probability,crossing_probability
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.09999999999999999,0.6915400611727838,0.8713569297045841,0.10327673379321387,0.22020832435295237,0.03784472338481478,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.11,0.6915400611727838,0.8713569297045841,0.11179497883118827,0.223627545801199,0.04191869215733917,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.12,0.6915400611727838,0.8713569297045841,0.1200168330415893,0.226720260056319,0.04604971985638335,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.13,0.6915400611727838,0.8713569297045841,0.12794878636884544,0.2295299995683308,0.05023901366397878,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.14,0.6915400611727838,0.8713569297045841,0.1355969389407324,0.23209163143311087,0.05448781505743031,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.15000000000000002,0.6915400611727838,0.8713569297045841,0.14296703224363683,0.23443355766739962,0.05879740103591167,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.16,0.6915400611727838,0.8713569297045841,0.15006447698553832,0.23657924728971316,0.06316908540008397,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.17,0.6915400611727838,0.8713569297045841,0.15689437807270018,0.23854833223542107,0.06760422008743149,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.18000000000000002,0.6915400611727838,0.8713569297045841,0.1634615570618571,0.24035740963262425,0.07210419656616499,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.19,0.6915400611727838,0.8713569297045841,0.16977057239647947,0.2420206410458648,0.07667044729071228,0.1280262761348617
