source,source_id,review_id,review_title,doi,file_id,file_name,file_size,download_url,upstream_checksum,format,license,license_url,parse_status,download_status,sha256,normalized_rows,test_groups
Figshare,32370267,FIGSHARE:32370267,Diagnostic test accuracy of teleretinal screening for cytomegalovirus retinitis among people living with HIV: A systematic review and meta-analysis,10.1371/journal.pgph.0006327.t002,64829820,Table 2.xls,5632,https://ndownloader.figshare.com/files/64829820,md5:f6fa1cbc5f87dad558e77d2d5b20d3c8,xls,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,unsupported_format,,,,
Figshare,32370270,FIGSHARE:32370270,Diagnostic test accuracy of teleretinal screening for cytomegalovirus retinitis among people living with HIV: A systematic review and meta-analysis,10.1371/journal.pgph.0006327.t003,64829823,Table 3.xls,5632,https://ndownloader.figshare.com/files/64829823,md5:d557b95375d2ea131e63a00c307c05f9,xls,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,unsupported_format,,,,
Figshare,32370273,FIGSHARE:32370273,Diagnostic test accuracy of teleretinal screening for cytomegalovirus retinitis among people living with HIV: A systematic review and meta-analysis,10.1371/journal.pgph.0006327.t004,64829826,Table 4.xls,9728,https://ndownloader.figshare.com/files/64829826,md5:d17b45b1e3034446ea7ac7a959b9cfca,xls,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,unsupported_format,,,,
Figshare,32586180,FIGSHARE:32586180,Comparative Diagnostic Performance of Early and Term MRI in Preterm Infants: a Diagnostic Test Accuracy Systematic review and Bayesian Meta-analysis.,10.6084/m9.figshare.32586180.v1,65298033,Supplementary material-PRISMA_Checklist.docx,34368,https://ndownloader.figshare.com/files/65298033,md5:10a9885f1f82945e808231bf0dfb3608,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,no_table_with_required_columns,200,982ae7f922dafce209cc2bd7cd61ffc68b9d31dd89c0c0ed6691fc487380a5fa,0,0
Figshare,32586180,FIGSHARE:32586180,Comparative Diagnostic Performance of Early and Term MRI in Preterm Infants: a Diagnostic Test Accuracy Systematic review and Bayesian Meta-analysis.,10.6084/m9.figshare.32586180.v1,65298036,Supplementary material-Supp_mat.docx,2767549,https://ndownloader.figshare.com/files/65298036,md5:071adb069a824fa42cd04ba79d97cdcf,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,no_table_with_required_columns,200,72a21b3041570d03d728f1e6ae53f41b3a82bd3fa7021a70b1b644f980a634b7,0,0
Figshare,32687319,FIGSHARE:32687319,A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Africa,10.3389/fpsyt.2026.1728252.s005,65591640,Table 1_A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Af.docx,709738,https://ndownloader.figshare.com/files/65591640,md5:a0ddac254c92a8b619f078c4c3109964,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,no_table_with_required_columns,200,76dc0e0963c272219f8e3cce01ab55d819b7179be81a57a41e09280e831fdfa3,0,0
Figshare,32687322,FIGSHARE:32687322,A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Africa,10.3389/fpsyt.2026.1728252.s004,65591643,Table 2_A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Af.docx,1120624,https://ndownloader.figshare.com/files/65591643,md5:7d187c624246a7a754cad5690773d199,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,required_columns_not_found,200,e4470ad0f427662e3cbae6bc7721e57382ebff601033a769dc0a50cf96ff688f,0,0
Figshare,32687325,FIGSHARE:32687325,A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Africa,10.3389/fpsyt.2026.1728252.s003,65591649,Table 3_A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Af.docx,842025,https://ndownloader.figshare.com/files/65591649,md5:a543267030045cd9ced8a6e5e563f5c8,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,required_columns_not_found,200,1e962544d3d9648e957bddd3d07c882d09d9f871e5ff22df8292744a12dc0b4c,0,0
Figshare,32687328,FIGSHARE:32687328,A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Africa,10.3389/fpsyt.2026.1728252.s002,65591652,Table 4_A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Af.pdf,566618,https://ndownloader.figshare.com/files/65591652,md5:344056914829b3682b5d71d1fcdc3342,pdf,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,unsupported_format,,,,
Figshare,32687331,FIGSHARE:32687331,A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Africa,10.3389/fpsyt.2026.1728252.s001,65591655,Table 5_A systematic review and meta-analysis of diagnostic test accuracy of mental health screening tools applicable to adolescents in sub-Saharan Af.pdf,313892,https://ndownloader.figshare.com/files/65591655,md5:087d509e15b4e0cb9aecaf5e9a2c3c71,pdf,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,unsupported_format,,,,
Figshare,32798628,FIGSHARE:32798628,Diagnostic accuracy of imaging modalities for primary small-bowel tumors: a systematic review and diagnostic test accuracy meta-analysis,10.3389/fonc.2026.1842330.s002,65886033,Table 1_Diagnostic accuracy of imaging modalities for primary small-bowel tumors: a systematic review and diagnostic test accuracy meta-analysis.docx,28581,https://ndownloader.figshare.com/files/65886033,md5:15974d0ee0470be74a81ddd341950b00,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,no_table_with_required_columns,200,d4a9ac52d3fd43b832a93909b62a7de34613f082a781442171c125d4f142912a,0,0
Figshare,32798634,FIGSHARE:32798634,Diagnostic accuracy of imaging modalities for primary small-bowel tumors: a systematic review and diagnostic test accuracy meta-analysis,10.3389/fonc.2026.1842330.s001,65886039,Table 2_Diagnostic accuracy of imaging modalities for primary small-bowel tumors: a systematic review and diagnostic test accuracy meta-analysis.docx,20408,https://ndownloader.figshare.com/files/65886039,md5:206f6f867e8eb19c0d75eda6ad17d43a,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,required_columns_not_found,200,c241cfa50ee7c2c915c17e01147c3d672c85b53dd6a06b4373b9a6a1788b609e,0,0
Figshare,33059540,FIGSHARE:33059540,Diagnostic accuracy of rapid and point-of-care tests for Schistosoma haematobium in African populations: a systematic review and meta-analysis,10.3389/fpara.2026.1830789.s001,66879302,Supplementary file 1_Diagnostic accuracy of rapid and point-of-care tests for Schistosoma haematobium in African populations: a systematic review and .docx,1009563,https://ndownloader.figshare.com/files/66879302,md5:b26000c9f2fc1a3e8fff52a446c3c4fb,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,no_table_with_required_columns,200,806374747fac8ab0131250a0095ce3873d61d404df55159bc4394422ccbd323f,0,0
Figshare,33145807,FIGSHARE:33145807,Diagnostic accuracy of blood biomarkers for excluding head CT abnormalities after mild traumatic brain injury in adults: a systematic review and meta-analysis,10.6084/m9.figshare.33145807.v1,67213336,ilab_a_2708643_sm4090.docx,27792,https://ndownloader.figshare.com/files/67213336,md5:9cde5f61f134133ab9e275c2a1b99f89,docx,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,required_columns_not_found,200,332b8b4ec64e4cf221cfbfc6966d2796ba9b11e9bf8da7fbf5fddb48054d9da9,0,0
Figshare,33145807,FIGSHARE:33145807,Diagnostic accuracy of blood biomarkers for excluding head CT abnormalities after mild traumatic brain injury in adults: a systematic review and meta-analysis,10.6084/m9.figshare.33145807.v1,67213339,ilab_a_2708643_sm4089.pdf,333997,https://ndownloader.figshare.com/files/67213339,md5:1a206a56e517651af118f773b16186d8,pdf,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,unsupported_format,,,,
