replicate,median_fraction_5,median_fraction_20,median_fraction_50,sampled_profile_count
1,0.26101446530190336,0.3248366825722654,0.3508696537455571,278
2,0.2519862271506376,0.3175159416037659,0.3312162367190932,281
3,0.2405158114862979,0.3031004753118667,0.3323747462074982,267
4,0.24975157179480376,0.31136904520210595,0.33327591330953865,260
5,0.2232117261354667,0.2839605824146379,0.3055726333563632,283
6,0.2600867460880185,0.3248366825722654,0.3339897366429449,277
7,0.2243189748024541,0.2789206831769446,0.3056522978479856,271
8,0.24547299494241076,0.30871101152132074,0.3326397646085046,278
9,0.2519862271506376,0.3175159416037659,0.3323747462074982,279
10,0.2337885578131195,0.299671352037633,0.318822931629464,273
11,0.251401290228081,0.3176659554135705,0.3326397646085046,259
12,0.235759514163908,0.2922321550118127,0.3133480325419154,275
13,0.2232117261354667,0.2789206831769446,0.2951025413880453,271
14,0.2405158114862979,0.300997052037025,0.3326397646085046,293
15,0.2247201724713354,0.28857831345776774,0.3299121063245131,256
16,0.222305998285177,0.2748250936264902,0.2930285561749555,303
17,0.24413367179946754,0.30856233068823063,0.3305955598293519,262
18,0.2209140722782021,0.2778635873389679,0.29447578943769465,280
19,0.2247201724713354,0.2839605824146379,0.3056522978479856,261
20,0.2237653504689604,0.2782104961837062,0.29731660278580546,266
21,0.22173273605917426,0.28424669401527375,0.3124603008240177,272
22,0.2295689729788875,0.29164245511824366,0.3117201449857981,276
23,0.2283572229168268,0.2919804310767402,0.3136224450347014,271
24,0.2295689729788875,0.2913044791597471,0.314132726882343,253
25,0.2516937586893593,0.3140241860645946,0.3339686828903065,278
26,0.22451957363689476,0.2863846436116265,0.31348523878830836,260
27,0.2331667147670941,0.2922321550118127,0.314132726882343,267
28,0.2337885578131195,0.299671352037633,0.328607975929933,263
29,0.2227199369335751,0.2795367314164046,0.306464594352574,275
30,0.23347763629010682,0.2921062930442765,0.31855379867328976,248
31,0.22747064129077582,0.2919804310767402,0.318822931629464,262
32,0.2311241001150748,0.2922321550118127,0.328607975929933,263
33,0.2477497545005592,0.3087139043396174,0.31855379867328976,274
34,0.2225513998401464,0.28191720907906404,0.30804628345086577,258
35,0.22161003528168954,0.2798738357434901,0.3056522978479856,272
36,0.2295689729788875,0.2913044791597471,0.314132726882343,251
37,0.222305998285177,0.2773125804745495,0.295462314726445,274
38,0.270946260672701,0.3223141758343399,0.3457936104342875,261
39,0.2225513998401464,0.2773125804745495,0.3018085886996588,269
40,0.22529685486769752,0.2845328056159096,0.3133480325419154,252
41,0.2295689729788875,0.2913044791597471,0.3136224450347014,265
42,0.25534705960138493,0.3175159416037659,0.3339897366429449,284
43,0.2295689729788875,0.29164245511824366,0.3138775859585222,252
44,0.2519862271506376,0.3140241860645946,0.3323747462074982,271
45,0.2739263143778055,0.3427361371454381,0.36446805341808186,288
46,0.251401290228081,0.3175159416037659,0.3323747462074982,269
47,0.23477403598851376,0.2925545823423991,0.31855379867328976,276
48,0.2311241001150748,0.30204876367444583,0.31620869629972925,300
49,0.235759514163908,0.29268044430993534,0.3130413729293595,286
50,0.2260805661151703,0.28193076468083134,0.3063644805576582,286
51,0.2405158114862979,0.3031004753118667,0.3326397646085046,253
52,0.235759514163908,0.3031004753118667,0.318822931629464,289
53,0.251401290228081,0.3175159416037659,0.3312162367190932,275
54,0.2648696438019468,0.3223141758343399,0.3488758936849697,264
55,0.2337885578131195,0.300997052037025,0.328607975929933,283
56,0.2295689729788875,0.2897856256043002,0.3096279725491575,271
57,0.2477497545005592,0.31136904520210595,0.33689349389549017,260
58,0.2734726986086483,0.3347008939185135,0.3488758936849697,249
59,0.2405158114862979,0.3031004753118667,0.3326397646085046,263
60,0.2600867460880185,0.323842885483071,0.3457936104342875,262
61,0.2560598180165894,0.3175159416037659,0.3323747462074982,279
62,0.23347763629010682,0.2919804310767402,0.3159535553759084,254
63,0.2475169164389699,0.3091446466503045,0.33330422374940555,274
64,0.2475169164389699,0.3087139043396174,0.3182846657171155,281
65,0.2743799301469627,0.3279549453729452,0.352299362191514,299
